UF;2023
11;23
12;13
13;35
14;11
15;115
16;10
17;24
21;112
22;67
23;194
24;55
25;127
26;163
27;70
28;44
29;301
31;441
32;43
33;197
35;611
41;171
42;123
43;233
50;41
51;51
52;101
53;18
 ;
